nombre	min_jugados	
Alexis Mirbach	1.216,00	
Justin Bengui Joao	1.080,00	
Lisandru Olmeta	1.980,00	
Steven Baseya	2.184,00	
Aboubaka Soumahoro	593,00	
Jaydee Canvot	1.587,00	
Elyaz Zidane	582,00	
Gady Beyuku	596,00	
Bradel Kiwa	1.343,00	
Justin Bourgault	1.208,00	
Mayssam Benama	612,00	
Dehmaine Assoumani	551,00	
Rabby Nzingoula	1.697,00	
Anthony Bermont	1.713,00	
Darryl Bakola	0,00	
Aladji Bamba	1.165,00	
Khalis Merah	1.517,00	
Ilane Touré	2.170,00	
Steve Ngoura	705,00	
Lucas Michel	0,00	
Joan Tincres	879,00	
Robinio Vaz	1.367,00	
Keyliane Abdallah	1.602,00	
Mathys Detourbet	1.274,00	
		
Colombia		
Alexei Rojas	0,00	
Jordan García	1.980,00	
Luis Mena	360,00	
Juan David Arizala	770,00	
Julián Bazán	557,00	
Yeimar Mosquera	734,00	
Carlos Sarabia	178,00	
Keimer Sandoval	210,00	
Weimar Vivas	400,00	
Kevin Álvarez	1.520,00	
Simón García	654,00	
Elkin Rivero	960,00	
José Cavadía	1.097,00	
Joel Romero	882,00	
Jhon Rentería	962,00	
Alejandro Ararat	712,00	
Kener González	1.116,00	
Jhon Guzmán	2.145,00	
Royner Benítez	490,00	
Jordan Barrera	745,00	
Neyser Villareal	0,00	
Óscar Perea	689,00	
John Montaño	141,00	
Emilio Aristizábal	1.826,00	
Joel Canchimbo	93,00	
		
Nigeria		
Rufai Abubakar	0,00	
Ebenezer Harcourt	90,00	
Clinton Ezekiel	1.260,00	
Daniel Bameyi	990,00	
Odinaka Okoro	22,00	
Ahmed Akinyele	2.518,00	
Azuka Alatan	0,00	
Amos Ochoche	651,00	
Marvelous Freedom	1.492,00	
Daniel Daga	1.570,00	
Israel Ayuma	718,00	
Auwal Ibrahim	82,00	
Emmanuel Ekele	62,00	
Kamaldeen Mustapha	0,00	
Sani Suleiman	1.400,00	
Orseer Achihi	160,00	
Kparobo Arierhi	579,00	
Tahir Maigana	110,00	
Charles Agada	0,00	
Salihu Nasiru	1.297,00	
Abdullahi Shitu	0,00	
		
Noruega		
Magnus Brondbo	1.530,00	
Sander Østraat	1.170,00	
Einar Fauskanger	1.170,00	
Hakon Rosten	1.970,00	
Rasmus Holten	1.243,00	
Vetle Auklend	1.024,00	
Jonathan Norbye	3.287,00	
Tobias Moi	325,00	
Mathias Øren	661,00	
Luca Høyland	1.517,00	
Markus Haaland	899,00	
Ola Visted	2.012,00	
Kasper Sætherbø	1.152,00	
Sondre Granaas	1.189,00	
Lars Remmem	978,00	
Martin Håheim-Elveseter	1.213,00	
David De Ornelas	1.361,00	
Magnus Holte	277,00	
Casper Andersen	9,00	
Bork Bang-Kittilsen	330,00	
		
		
